"Neighborhood","House.Style","Overall.Qual","Year.Built","Exterior.1st","Exterior.2nd","Mas.Vnr.Area","Foundation","Bsmt.Qual","BsmtFin.Type.1","BsmtFin.SF.1","Total.Bsmt.SF","Gr.Liv.Area","Full.Bath","Kitchen.Qual","Fireplaces","Fireplace.Qu","Garage.Finish","Garage.Cars","SalePrice"
16,3,6,88,4,11,112,2,7,3,639,1080,1656,1,5,2,4,3,2,12.2783933071098
16,3,5,89,14,15,0,2,7,7,468,882,896,1,5,0,4,5,1,11.5617156291397
16,3,6,86,15,16,108,2,7,2,923,1329,1329,1,3,0,3,5,1,12.0552497557956
16,3,7,96,4,4,0,2,7,2,1065,2110,2110,2,1,2,6,3,2,12.4049235042753
9,6,5,125,14,15,0,3,5,5,791,928,1629,2,5,1,6,3,2,12.1542528968004
9,6,6,126,14,15,20,3,7,5,602,926,1604,2,3,1,4,3,2,12.1833156584076
25,3,8,129,6,6,0,3,5,5,616,1338,1338,2,3,0,1,3,2,12.2713921116508
25,3,8,120,7,7,0,3,5,2,263,1280,1280,2,3,0,6,4,2,12.1626430876028
25,3,8,123,6,6,0,3,5,5,1180,1595,1616,2,3,1,6,4,2,12.3737034869141
9,6,7,127,14,15,0,3,7,8,0,994,1804,2,3,1,6,3,2,12.1495022940418
9,6,6,121,7,7,0,3,5,8,0,763,1655,2,5,1,6,3,2,12.0776709307256
9,3,6,120,7,7,0,3,5,2,935,1168,1187,2,5,0,6,3,2,12.1281111040605
9,6,6,126,14,15,0,3,5,8,0,789,1465,2,5,1,4,3,2,12.1029318866107
9,3,7,118,7,7,0,3,5,5,637,1300,1341,1,3,1,5,5,2,12.0523385455881
25,3,8,113,7,7,0,3,5,5,368,1488,1502,1,3,0,1,4,2,12.2643415536542
25,6,8,131,6,17,603,3,5,2,1416,1650,3279,3,1,1,4,3,3,13.1956138391439
9,1,8,116,15,16,0,6,5,5,427,559,1752,2,5,0,1,4,2,12.0076217068063
25,3,9,138,14,15,350,3,3,5,1445,1856,1856,1,1,1,2,3,3,12.8852020343219
9,3,4,79,14,15,0,2,7,6,120,864,864,1,5,0,1,5,2,11.8565151693603
20,3,6,106,10,11,119,2,5,2,790,1542,2073,2,5,2,6,5,2,12.2548628096996
20,3,6,105,10,11,480,2,5,3,705,1844,1844,2,5,1,6,4,2,12.1547793511426
20,7,7,102,10,11,81,2,5,5,885,1053,1173,2,3,2,6,4,2,12.0435537160324
24,6,7,128,14,15,0,3,5,5,533,814,1674,2,3,0,1,4,2,12.2830336866663
16,3,6,98,15,16,180,2,7,2,578,1004,1004,1,5,1,6,3,2,11.9117015849276
16,3,5,99,14,15,0,2,7,5,734,1078,1078,1,5,1,3,3,2,11.9177236840907
16,3,5,96,14,15,0,2,7,3,775,1056,1056,1,5,1,3,5,1,11.8635823365834
16,3,4,98,10,11,0,2,7,2,804,882,882,1,5,0,1,3,2,11.7440371859336
16,3,4,99,7,7,0,2,7,2,432,864,864,1,5,1,5,2,0,11.6526874073454
16,3,7,127,9,9,0,3,5,5,1051,1405,1337,2,3,1,3,3,2,12.1226910365911
3,6,6,99,7,7,504,2,7,7,156,483,987,1,5,0,4,5,1,11.47210347045
3,6,5,99,7,7,492,2,7,7,300,525,1092,1,5,0,1,5,1,11.5664662318983
3,6,6,99,7,8,381,2,7,8,0,525,1092,1,5,0,4,5,1,11.3850920934603
18,3,6,105,10,11,0,2,5,2,360,1069,1069,2,5,1,3,4,2,11.7558716435806
18,6,6,103,10,3,0,2,7,2,514,855,1456,2,3,1,6,5,2,11.9177236840907
18,3,7,103,10,3,0,2,5,8,0,836,836,1,5,0,1,5,1,11.6952470217642
18,6,6,106,10,3,0,2,5,2,311,855,1456,2,5,1,6,5,2,11.8913619006905
19,6,9,137,14,15,162,3,3,8,0,1590,2334,2,1,1,4,3,3,12.8377751806462
19,3,8,135,14,15,200,3,3,5,1218,1704,1704,2,3,1,4,4,3,12.6313403809345
19,3,9,137,14,15,450,3,3,5,1646,1930,1940,2,1,1,4,3,3,12.887127001736
19,3,8,137,14,15,256,3,5,8,0,1544,1544,2,3,0,1,4,3,12.5808757764564
19,3,7,133,14,15,226,3,5,3,1201,1541,1541,2,3,1,4,4,2,12.3013828253345
19,3,9,133,14,15,615,3,3,5,110,1698,1698,2,1,1,4,3,3,12.5245263766487
19,3,8,133,6,6,240,3,3,5,28,1822,1822,2,1,1,4,4,3,12.4645833406817
19,3,7,132,14,15,168,3,5,5,2,1517,1535,2,3,0,6,4,2,12.273731294004
19,3,9,137,14,15,760,3,3,5,2188,2330,2364,2,1,2,4,3,3,13.3239269468631
19,3,7,137,14,15,128,3,5,5,733,1358,1358,2,3,1,4,4,2,12.3194013308372
19,3,9,131,14,15,1095,3,3,5,1373,2846,2696,2,1,2,4,3,3,13.1223633774043
19,6,8,130,14,15,232,3,5,5,578,1671,2250,2,3,1,2,3,3,12.6760762747759
19,3,9,133,9,9,412,3,3,5,456,1752,1752,2,1,1,4,4,2,12.6757637259376
19,3,8,134,14,15,178,3,5,5,24,1370,1370,2,3,1,4,4,2,12.2307652581205
19,6,7,131,14,17,106,3,5,8,0,764,1626,2,3,0,1,4,2,12.0753943218881
9,3,6,133,14,15,0,3,5,8,0,1324,1324,2,3,0,1,3,2,12.2035695153121
1,3,7,134,14,15,14,3,5,5,16,1145,1145,2,3,0,1,3,2,11.982929094216
1,3,8,132,14,15,16,3,5,5,24,1256,1269,2,3,1,6,3,2,12.1652506510099
9,8,7,132,14,15,0,3,5,5,326,384,1374,2,3,1,4,3,2,12.1254047424627
