"Neighborhood","House.Style","Overall.Qual","Year.Built","Exterior.1st","Exterior.2nd","Mas.Vnr.Area","Foundation","Bsmt.Qual","BsmtFin.Type.1","BsmtFin.SF.1","Total.Bsmt.SF","Gr.Liv.Area","Full.Bath","Kitchen.Qual","Fireplaces","Fireplace.Qu","Garage.Finish","Garage.Cars","SalePrice"
16,3,6,88,4,11,112,2,3,4,639,1080,1656,1,3,2,4,3,2,12.2783933071098
16,3,5,89,14,15,0,2,3,3,468,882,896,1,3,0,4,1,1,11.5617156291397
16,3,6,86,15,16,108,2,3,5,923,1329,1329,1,4,0,2,1,1,12.0552497557956
16,3,7,96,4,4,0,2,3,5,1065,2110,2110,2,5,2,3,3,2,12.4049235042753
9,6,5,125,14,15,0,3,4,6,791,928,1629,2,3,1,3,3,2,12.1542528968004
9,6,6,126,14,15,20,3,3,6,602,926,1604,2,4,1,4,3,2,12.1833156584076
25,3,8,129,6,6,0,3,4,6,616,1338,1338,2,4,0,0,3,2,12.2713921116508
25,3,8,120,7,7,0,3,4,5,263,1280,1280,2,4,0,3,2,2,12.1626430876028
25,3,8,123,6,6,0,3,4,6,1180,1595,1616,2,4,1,3,2,2,12.3737034869141
9,6,7,127,14,15,0,3,3,1,0,994,1804,2,4,1,3,3,2,12.1495022940418
9,6,6,121,7,7,0,3,4,1,0,763,1655,2,3,1,3,3,2,12.0776709307256
9,3,6,120,7,7,0,3,4,5,935,1168,1187,2,3,0,3,3,2,12.1281111040605
9,6,6,126,14,15,0,3,4,1,0,789,1465,2,3,1,4,3,2,12.1029318866107
9,3,7,118,7,7,0,3,4,6,637,1300,1341,1,4,1,1,1,2,12.0523385455881
25,6,8,131,6,17,603,3,4,5,1416,1650,3279,3,5,1,4,3,3,13.1956138391439
9,3,4,79,14,15,0,2,3,2,120,864,864,1,3,0,0,1,2,11.8565151693603
24,6,7,128,14,15,0,3,4,6,533,814,1674,2,4,0,0,2,2,12.2830336866663
16,3,6,98,15,16,180,2,3,5,578,1004,1004,1,3,1,3,3,2,11.9117015849276
16,3,5,99,14,15,0,2,3,6,734,1078,1078,1,3,1,2,3,2,11.9177236840907
16,3,7,127,9,9,0,3,4,6,1051,1405,1337,2,4,1,2,3,2,12.1226910365911
3,6,6,99,7,7,504,2,3,3,156,483,987,1,3,0,4,1,1,11.47210347045
3,6,6,99,7,8,381,2,3,1,0,525,1092,1,3,0,4,1,1,11.3850920934603
18,3,6,105,10,11,0,2,4,5,360,1069,1069,2,3,1,2,2,2,11.7558716435806
18,6,6,103,10,3,0,2,3,5,514,855,1456,2,4,1,3,1,2,11.9177236840907
18,3,7,103,10,3,0,2,4,1,0,836,836,1,3,0,0,1,1,11.6952470217642
18,6,6,106,10,3,0,2,4,5,311,855,1456,2,3,1,3,1,2,11.8913619006905
19,6,9,137,14,15,162,3,5,1,0,1590,2334,2,5,1,4,3,3,12.8377751806462
19,3,8,135,14,15,200,3,5,6,1218,1704,1704,2,4,1,4,2,3,12.6313403809345
19,3,9,137,14,15,450,3,5,6,1646,1930,1940,2,5,1,4,3,3,12.887127001736
19,3,8,137,14,15,256,3,4,1,0,1544,1544,2,4,0,0,2,3,12.5808757764564
19,3,7,133,14,15,226,3,4,4,1201,1541,1541,2,4,1,4,2,2,12.3013828253345
19,3,9,133,14,15,615,3,5,6,110,1698,1698,2,5,1,4,3,3,12.5245263766487
19,3,7,132,14,15,168,3,4,6,2,1517,1535,2,4,0,3,2,2,12.273731294004
19,3,9,137,14,15,760,3,5,6,2188,2330,2364,2,5,2,4,3,3,13.3239269468631
19,3,7,137,14,15,128,3,4,6,733,1358,1358,2,4,1,4,2,2,12.3194013308372
19,3,9,131,14,15,1095,3,5,6,1373,2846,2696,2,5,2,4,3,3,13.1223633774043
19,6,8,130,14,15,232,3,4,6,578,1671,2250,2,4,1,5,3,3,12.6760762747759
19,6,7,131,14,17,106,3,4,1,0,764,1626,2,4,0,0,2,2,12.0753943218881
9,3,6,133,14,15,0,3,4,1,0,1324,1324,2,4,0,0,3,2,12.2035695153121
1,3,7,134,14,15,14,3,4,6,16,1145,1145,2,4,0,0,3,2,11.982929094216
9,6,7,129,14,15,180,3,4,1,0,884,2035,2,4,1,4,3,2,12.3126823805884
17,6,9,127,14,15,165,3,4,1,0,1393,2599,2,4,1,3,3,3,12.7164021462475
17,6,8,126,14,15,114,3,5,1,0,1629,2475,2,4,1,3,3,3,12.7798730684576
17,3,7,124,14,15,338,3,4,6,919,1720,1720,2,4,1,3,3,2,12.4699741893166
17,6,8,127,14,15,348,3,4,6,524,1152,2270,2,4,1,4,3,3,12.5776362019627
17,6,7,126,14,15,30,3,4,1,0,1195,1839,2,3,0,0,3,2,12.3059179804999
24,3,8,133,14,15,226,3,4,1,0,1595,1595,2,4,1,4,2,3,12.3081778684673
24,3,7,137,14,15,0,3,4,1,0,1218,1218,2,4,0,0,2,2,12.228323254465
24,6,7,137,14,15,0,3,4,6,24,756,1547,2,4,0,3,1,2,12.2793231072698
24,3,8,136,14,15,36,3,4,6,1078,1566,1566,2,4,0,0,2,2,12.4780063610138
24,6,7,132,14,15,0,3,4,6,222,991,1947,2,4,1,4,2,2,12.4486265903642
24,3,6,133,14,15,0,3,5,6,1414,1468,1468,2,4,1,4,3,2,12.5117174183561
23,6,7,132,14,15,122,3,4,1,0,831,1659,2,4,0,4,2,2,12.106252310248
23,6,7,122,14,15,0,3,4,6,695,948,2110,2,4,2,2,2,2,12.2307652581205
23,6,6,120,15,16,0,3,4,1,0,1055,1845,2,4,1,3,2,2,12.1495022940418
23,3,6,112,10,11,0,2,4,5,623,744,752,1,3,0,0,1,1,11.7360690162844
23,6,7,121,7,7,0,3,4,4,402,996,1744,2,4,0,0,2,2,12.1781874420406
23,3,6,112,7,11,0,3,4,6,338,1040,1097,2,3,0,0,1,2,11.9316357998284
23,6,6,108,7,7,130,2,4,1,0,650,1564,2,3,1,3,1,2,12.0494188354848
23,3,5,48,15,16,0,1,3,1,0,816,1012,1,3,0,4,1,1,11.1198828768606
22,1,6,106,14,15,0,4,4,6,0,0,1902,2,3,0,4,1,2,11.6262541502772
22,3,5,93,9,9,0,2,3,6,553,894,894,1,3,1,4,1,1,11.8386256046095
22,3,5,95,9,9,31,2,3,4,450,882,900,1,3,0,0,1,1,11.7117763237154
22,3,5,91,7,7,0,2,3,5,824,1040,1040,1,3,0,3,3,1,11.7981044072039
22,3,5,90,7,7,0,2,3,5,659,1040,1040,1,3,0,0,1,1,11.7519423654407
17,6,7,120,7,7,0,3,4,6,674,750,1923,2,4,1,3,2,2,12.1547793511426
17,6,8,120,7,7,180,3,4,6,1129,1390,2225,2,4,1,3,2,3,12.5602444592508
24,6,7,132,14,15,0,3,4,1,0,840,1680,2,4,0,0,2,2,12.1547793511426
24,6,7,132,9,9,120,3,4,6,280,600,1200,2,4,0,4,2,2,11.9511803959014
24,6,7,132,9,9,0,3,4,1,0,600,1200,2,4,0,3,2,2,11.9250351157971
24,6,7,132,9,9,0,3,4,6,368,600,1200,2,4,0,0,2,2,11.9150516718129
24,3,7,137,9,9,432,3,5,6,578,1470,1478,2,4,1,4,3,2,12.3104326608544
24,6,6,128,9,9,216,3,4,6,378,756,1573,2,4,0,0,1,2,12.0867258878976
24,6,7,127,9,9,0,3,4,5,604,696,1416,2,4,0,0,1,2,11.9511803959014
24,6,7,131,14,15,0,3,4,6,244,530,1080,2,4,0,0,2,2,11.8989358852443
24,3,8,138,6,6,0,3,5,6,1032,1642,1418,1,4,1,4,2,3,12.4984287775268
24,6,8,128,14,15,0,3,4,6,484,975,1848,2,4,1,3,2,2,12.4450895460007
10,3,8,106,15,11,0,2,4,6,1052,1226,1226,1,4,1,3,3,2,12.2356314477717
22,6,6,104,7,11,289,2,3,6,533,725,1479,2,4,0,0,2,2,11.7791285057449
24,3,7,130,14,15,0,3,4,6,833,1492,1492,2,4,1,4,2,2,12.3458345879053
20,3,6,95,7,7,120,2,3,6,506,1829,1829,2,3,0,0,2,2,12.2945412935178
20,6,6,121,9,9,0,3,4,6,1137,1280,2495,2,4,1,3,1,2,12.4028722215048
20,3,6,105,10,11,28,3,3,5,1200,1610,1610,2,4,2,3,2,2,12.2307652581205
20,1,6,106,9,9,0,3,4,5,687,1224,1891,3,3,1,3,2,2,12.2666972673466
20,6,7,116,7,7,42,2,4,6,394,980,1714,2,3,1,3,1,2,12.1884177102915
20,6,6,99,9,9,0,2,3,5,329,715,1645,1,3,0,0,2,2,12.0494188354848
16,3,5,94,14,15,172,2,3,3,698,1232,1232,1,3,0,0,2,2,11.8653413519886
20,3,6,91,7,7,451,2,3,5,569,1328,1328,1,3,2,4,1,2,11.870599909242
16,3,5,94,7,7,0,3,4,4,1059,1209,1209,1,3,0,0,2,2,11.9766594812024
16,3,5,95,15,11,268,2,3,4,1010,1510,1510,2,4,0,4,2,2,12.0945822694968
16,8,5,92,15,7,86,3,3,6,1014,1152,1152,1,3,1,4,2,2,12.1034860567551
16,3,5,90,7,7,144,2,3,4,1500,1728,1728,2,3,0,0,3,0,11.3492293722994
16,3,5,78,9,9,0,2,3,6,49,1078,1078,1,4,0,0,1,1,11.8644622310528
16,1,5,80,9,9,265,2,3,2,670,1140,2461,2,3,2,4,1,2,12.1940000642959
16,1,6,77,9,9,340,2,3,3,300,782,1556,2,3,1,4,1,2,12.0581525154536
4,3,5,86,15,11,0,2,3,4,696,858,858,1,3,0,0,1,0,11.6656465519879
4,3,3,68,15,11,0,2,3,1,0,728,1306,1,2,0,0,0,0,11.2450460198146
16,7,6,94,7,7,216,2,3,6,944,1080,1128,1,4,1,4,1,1,12.0895388292742
16,6,5,88,9,9,361,2,3,3,443,1105,2274,2,3,0,0,1,2,11.9466540383513
16,3,7,98,10,11,287,2,4,6,912,1947,2207,2,3,1,4,2,2,12.1007121298723
16,3,5,86,7,7,0,2,3,1,0,1604,1604,2,3,0,0,1,2,11.8130300574206
16,3,5,87,4,4,0,2,3,3,1018,1398,1700,1,4,1,4,2,2,12.0167264737993
16,3,5,85,9,9,0,2,3,3,922,1314,1314,1,3,0,0,2,1,11.8844890214027
16,3,6,87,9,9,220,2,3,1,0,1194,1194,1,3,0,4,2,1,11.9049675527463
16,3,5,87,10,11,180,2,3,3,1000,1188,1188,1,3,0,0,2,2,11.8635823365834
16,3,5,88,9,7,324,2,3,3,697,1268,1264,1,3,2,4,1,2,12.0287386302473
16,3,5,87,9,9,91,2,3,3,936,1206,1206,1,3,0,4,2,1,11.594855621061
16,3,6,87,15,16,432,2,3,3,734,1244,1580,1,3,2,4,1,2,11.979799201207
16,1,4,84,9,9,0,2,3,1,0,832,1337,1,3,0,3,1,1,11.5898865061064
16,3,5,80,16,17,0,2,3,4,339,864,1064,1,2,0,0,1,1,11.8130300574206
16,3,5,83,9,9,0,2,3,3,648,972,972,1,3,0,4,1,1,11.7158663089669
16,3,5,86,9,9,0,2,3,3,532,988,988,1,3,0,0,1,1,11.6868787720937
16,3,5,81,14,15,0,2,3,6,731,1057,1057,1,4,0,4,1,1,11.5991031612113
16,3,4,48,9,9,0,1,3,1,0,576,985,1,3,0,0,1,2,11.5617156291397
16,3,5,83,14,15,0,4,4,0,0,0,827,1,3,1,1,1,1,11.5852461265499
16,3,5,82,15,16,104,2,3,5,320,1086,1086,1,3,0,0,1,2,11.8837991283088
16,3,5,84,9,9,0,2,3,4,248,936,936,1,3,0,0,3,1,11.7675676833438
16,1,6,76,14,15,0,2,3,1,0,912,1458,1,3,1,4,1,1,11.4876076569859
16,3,5,87,15,16,0,2,3,5,72,1063,1287,1,4,1,4,3,2,11.9953516142145
16,8,7,95,15,16,300,2,4,1,0,710,2978,2,4,1,4,3,2,12.3966930051388
16,1,6,76,16,17,0,2,3,5,481,816,1224,1,3,0,0,1,1,11.7905572015685
16,3,5,87,4,4,0,2,3,2,340,1246,1246,1,4,0,0,2,1,11.9447078813958
16,3,5,79,15,16,0,2,3,4,234,900,900,1,4,0,4,1,2,11.8115474774603
16,3,6,90,15,16,261,2,3,1,0,1116,1116,1,3,0,0,1,2,11.982929094216
16,3,5,88,4,16,0,2,3,3,588,1175,1175,1,3,0,0,2,2,11.9049675527463
21,1,4,28,15,16,771,3,3,5,48,709,1844,1,3,2,4,1,1,11.2947694551671
21,1,4,38,15,16,0,1,3,1,0,576,1140,1,3,0,4,1,0,11.4772982873271
21,3,5,48,15,16,0,3,3,4,579,936,936,1,3,1,4,1,0,11.6036798282387
21,3,5,55,16,17,0,2,3,1,0,1008,1028,1,3,1,4,1,2,11.6526874073454
21,3,5,85,9,9,0,2,3,4,274,1347,1347,1,4,0,4,1,2,11.870599909242
21,6,3,43,14,15,0,2,2,1,0,840,1605,2,3,0,0,1,1,11.5843154610569
21,3,5,68,9,9,294,2,3,4,510,788,804,1,4,2,4,1,1,11.6868787720937
21,1,5,57,15,16,0,1,3,2,234,926,1316,1,3,0,3,1,2,11.7752897294377
21,1,5,48,9,9,0,1,3,3,176,1008,1245,1,3,0,4,1,1,11.5129254649702
21,3,6,56,14,15,0,1,3,1,0,624,720,1,3,0,4,1,2,11.5702505315895
21,6,8,28,15,16,0,1,3,1,0,930,1566,2,4,0,4,1,1,11.9183905730784
21,1,5,43,9,9,0,3,2,2,686,686,1652,2,3,0,3,1,1,11.8422292121128
21,6,8,18,15,16,0,5,2,1,0,346,2268,3,4,0,0,1,2,12.3883942023241
21,6,5,38,9,9,0,1,3,1,0,840,2256,2,2,0,4,0,0,11.2450460198146
21,3,6,85,9,9,0,2,3,6,600,912,1236,1,3,0,4,1,2,11.9163885704077
21,6,4,13,14,1,0,3,3,1,0,777,2290,2,3,0,0,1,2,11.7158663089669
21,6,6,50,15,16,0,2,2,3,283,738,1470,1,3,0,0,1,2,11.8547405460019
4,1,5,78,9,9,0,2,3,3,788,988,1612,1,3,0,0,1,1,11.7636841833174
4,5,7,50,15,16,0,1,4,4,474,1108,2068,1,4,1,4,1,1,12.2524790183443
4,1,6,67,9,9,0,1,3,4,452,608,1132,1,3,0,0,1,1,11.805595078933
